ticker,sharpe,max_dd,score
PLD,0.2730823887964893,-0.5540124820397037,-0.003923852223362556
TSN,0.16958714004957368,-0.3522346424199174,-0.006530181160385035
WEC,0.21994133926766604,-0.45709253760016255,-0.008604929532415234
ESS,0.16591208887359932,-0.35891283077685165,-0.01354432651482651
ADM,0.22124379756902982,-0.4756702069797233,-0.016591305920831828
WTW,0.1598699371302077,-0.36107013825601797,-0.02066513199780129
TROW,0.24224652988248666,-0.5275237092524614,-0.02151532474374404
JKHY,0.16895558614967035,-0.38492906380727165,-0.023508945753965477
CF,0.24844340439020693,-0.5489785564741938,-0.026045873846889972
SYK,0.18865453675178898,-0.4303817397837806,-0.026536333140101315
TXT,0.1863458027233358,-0.4286149630531815,-0.027961678803254925
EW,0.19643077621056076,-0.4590551976075209,-0.03309682259319968
MET,0.1555926102032665,-0.3868669943916315,-0.037840886992549255
COO,0.19238501296773022,-0.4680288084963302,-0.041629391280434885
TDY,0.26585955158707575,-0.6166269521320755,-0.04245392447896201
UAL,0.29054255507822857,-0.6710894557327731,-0.04500217278815799
ADP,0.1483556319884135,-0.39290871618363166,-0.04809872610340232
MAS,0.16284620392971225,-0.42376681216376966,-0.04903720215217258
GILD,0.1545686860972178,-0.4074561665508164,-0.0491593971781904
LYB,0.16728900681559067,-0.43587802882673443,-0.05065000759777655
CI,0.16040460842683463,-0.42534416624679483,-0.05226747469656279
NTRS,0.17654207136128117,-0.46279890506169596,-0.054857381169566816
LNT,0.15769204732032235,-0.44251168954348075,-0.06356379745141802
AMT,0.1826496976931202,-0.4952827053163088,-0.0649916549650342
EOG,0.21827718998735768,-0.5685742768012434,-0.06600994841326402
CDW,0.22944594402744947,-0.5924516576160378,-0.06677988478056943
T,0.16302210782059345,-0.4648636505556969,-0.069409717457255
BMY,0.13358670877341805,-0.40625482631774545,-0.06954070438545468
MKC,0.15568593777507586,-0.453194443536458,-0.07091128399315313
FTNT,0.27961740974847354,-0.7108032091207686,-0.07578419481191073
DPZ,0.14831743478141496,-0.44900446422740237,-0.07618479733228622
UNH,0.14414750924692732,-0.4446951229845154,-0.07820005224533039
KDP,0.14098245742182874,-0.4384381142546169,-0.07823659970547969
AVB,0.10413950018326724,-0.3652558377870032,-0.07848841871023436
